"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"AGUASCALIENTES","AGUASCALIENTES",1,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"AGUASCALIENTES","AGUASCALIENTES",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",6,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",9,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CAMPECHE","CAMPECHE",2,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",1,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",3,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",4,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",6,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",7,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIAPAS","CHIAPAS",9,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CHIAPAS","CHIAPAS",10,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",11,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",12,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIAPAS","CHIAPAS",13,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIHUAHUA","CHIHUAHUA",1,"FUERZA Y CORAZON POR MEXICO","PRD",\N
"CHIHUAHUA","CHIHUAHUA",2,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIHUAHUA","CHIHUAHUA",3,"FUERZA Y CORAZON POR MEXICO","PRI",\N
"CHIHUAHUA","CHIHUAHUA",4,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",5,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",6,"FUERZA Y CORAZON POR MEXICO","PAN",\N
"CHIHUAHUA","CHIHUAHUA",7,"FUERZA Y CORAZON POR MEXICO","PAN",\N
